Title,Earnings,Year
Avengers: Endgame,"2,794.7",2019
Avatar,"2,789.7",2009
Titanic,"2,187.5",1997
Star Wars: The Force Awakens,"2,068.2",2015
Avengers: Infinity War,"2,048.4",2018
Jurassic World,"1,671.7",2015
Marvel's The Avengers,"1,518.8",2012
Furious 7,"1,516.0",2015
Avengers: Age of Ultron,"1,405.4",2015
Black Panther,"1,346.9",2018
Harry Potter and the Deathly Hallows Part 2,"1,341.7",2011
Star Wars: The Last Jedi,"1,332.5",2017
Jurassic World: Fallen Kingdom,"1,309.5",2018
Frozen,"1,276.5",2013
Beauty and the Beast (2017),"1,263.5",2017
Incredibles 2,"1,242.8",2018
The Fate of the Furious,"1,236.0",2017
Iron Man 3,"1,214.8",2013
The Lion King (2019),"1,199.8",2019
Minions,"1,159.4",2015
Captain America: Civil War,"1,153.3",2016
Aquaman,"1,148.1",2018
Captain Marvel ,"1,128.3",2019
Transformers: Dark of the Moon,"1,123.8",2011
The Lord of the Rings: The Return of the King,"1,119.9",2003
Skyfall,"1,108.6",2012
Transformers: Age of Extinction,"1,104.1",2014
The Dark Knight Rises,"1,084.9",2012
Spider-Man: Far from Home,"1,075.5",2019
Toy Story 3,"1,067.0",2010
Pirates of the Caribbean: Dead Man's Chest,"1,066.2",2006
Rogue One: A Star Wars Story,"1,056.1",2016
Pirates of the Caribbean: On Stranger Tides,"1,045.7",2011
Despicable Me 3,"1,034.8",2017
Jurassic Park,"1,029.5",1993
Finding Dory,"1,028.6",2016
Star Wars: Episode I - The Phantom Menace,"1,027.0",1999
Aladdin (2019),"1,026.3",2019
Alice in Wonderland (2010),"1,025.5",2010
Zootopia,"1,023.8",2016
The Hobbit: An Unexpected Journey,"1,021.1",2012
The Dark Knight,"1,004.9",2008
Harry Potter and the Sorcerer's Stone,975.1,2001
Despicable Me 2,970.8,2013
The Lion King,968.5,1994
The Jungle Book (2016),966.6,2016
Pirates of the Caribbean: At World's End,963.4,2007
Jumanji: Welcome to the Jungle,962.1,2017
Toy Story 4,960.5,2019
Harry Potter and the Deathly Hallows Part 1,960.4,2010
The Hobbit: The Desolation of Smaug,958.4,2013
The Hobbit: The Battle of the Five Armies,956.0,2014
Finding Nemo,940.3,2003
Harry Potter and the Order of the Phoenix,940.0,2007
Harry Potter and the Half-Blood Prince,934.5,2009
The Lord of the Rings: The Two Towers,926.0,2002
Shrek 2,919.8,2004
Bohemian Rhapsody,903.7,2018
Harry Potter and the Goblet of Fire,897.1,2005
Spider-Man 3,890.9,2007
Ice Age: Dawn of the Dinosaurs,888.8,2009
Spectre,880.7,2015
Spider-Man: Homecoming,880.2,2017
Harry Potter and the Chamber of Secrets,879.2,2002
Ice Age: Continental Drift,877.2,2012
The Secret Life of Pets,875.5,2016
Batman v Superman: Dawn of Justice,873.6,2016
The Lord of the Rings: The Fellowship of the Ring,871.5,2001
Wolf Warrior 2,870.3,2017
The Hunger Games: Catching Fire,865.0,2013
Guardians of the Galaxy Vol. 2,863.8,2017
Inside Out,857.6,2015
Venom (2018),856.1,2018
Thor: Ragnarok,854.0,2017
Star Wars: Episode III - Revenge of the Sith,848.8,2005
Transformers: Revenge of the Fallen,836.3,2009
The Twilight Saga: Breaking Dawn Part 2,829.7,2012
Inception,828.3,2010
Wonder Woman,821.8,2017
Spider-Man,821.7,2002
Independence Day,817.4,1996
Fantastic Beasts and Where To Find Them,814.0,2016
Coco,807.1,2017
Shrek the Third,799.0,2007
Harry Potter and the Prisoner of Azkaban,796.9,2004
Pirates of the Caribbean: Dead Men Tell No Tales,794.9,2017
E.T.: The Extra-Terrestrial,792.9,1982
Mission: Impossible - Fallout,791.1,2018
Fast & Furious 6,788.7,2013
Indiana Jones and the Kingdom of the Crystal Skull,786.6,2008
Deadpool 2,785.0,2018
Spider-Man 2,783.8,2004
Deadpool,783.1,2016
Star Wars,775.4,1977
Guardians of the Galaxy,773.3,2014
2012,769.7,2009
Maleficent,758.5,2014
The Da Vinci Code,758.2,2006
The Amazing Spider-Man,757.9,2012
The Hunger Games: Mockingjay - Part 1,755.4,2014
